OnCatchSheet,OnSummarySheet,Date,years,yearday,months,Site.Name,Unique.Name,Nursery,Grid.Reference,Longitude,Latitude,X.coord,Y.coord,Use_row,Sampling,Year0class,Year0AverageFL,TaggingClassO,Year1class,Year1AverageFL,TaggingClass1,Year2class,Year2AverageFL,TaggingClass2,Year3class,Year3AverageFL,TaggingClass3,Year4class,Year4AverageFL,TaggingClass4,Air.Temp,Wind.Direction,Cloud.Condition,Precipitation,Water.Temp,Salinity,Turbidity,Surface,AverageDepth,GearCode,GearType,Net.m,Deep.m,Mesh.mm,CatchMethod,HaulRun,StartTime,EndTime,Duration(Mins),HWTime_1,HWTime_2,LWTime,LWTime_2,HW_1,HW_2,LW,LW_2,NetheldTime,AreaNetted,NetTechnique
0,1,1998/05/18,1998,138,5,19 Bosahan,Bosahan,Helford,SW773264,-5.1151426,50.095860,177300,26400,0,1,0,NA,0,0,NA,0,0,NA,0,0,NA,0,1,31.9,Orange,18,Calm,0/8,Dry,18,NA,NA,NA,5,LN,Large Net,18.3,1.8,5,Beach Seine,NA,NA,NA,NA,,,,,,,,,NA,NA,Hauled
0,1,1998/05/28,1998,148,5,17 Entrance of Porth Navas,Entrance of Porth Navas,Helford,SW754269,-5.1419603,50.099634,175400,26900,0,1,0,NA,0,0,NA,0,0,NA,0,2,26,Yellow,0,NA,0,19,E,6/8,Dry,18.5,NA,NA,NA,1,LN,Large Net,18.3,1.8,5,Beach Seine,NA,NA,NA,NA,,,,,,,,,NA,3100,Hauled
0,1,1998/06/11,1998,162,6,6 Gweek,Gweek,Helford,SW705265,-5.2101247,50.094169,170500,26500,0,1,0,NA,0,1,13,0,0,NA,0,0,NA,0,0,NA,0,15,N,6/8,Dry,17,NA,NA,NA,0.6,LN,Large Net,18.3,1.8,5,Beach Seine,NA,NA,NA,NA,,,,,,,,,NA,800,Hauled
0,1,1998/06/12,1998,163,6,15 Groyne Point,Groyne Point,Helford,SW741262,-5.1596953,50.092855,174100,26200,0,1,0,NA,0,1,12,0,0,NA,0,0,NA,0,0,NA,0,16,W,8/8,Dry,17,NA,NA,NA,0.8,LN,Large Net,18.3,1.8,5,Beach Seine,NA,NA,NA,NA,,,,,,,,,NA,1500,Hauled
0,1,1998/06/16,1998,167,6,15 Groyne Point,Groyne Point,Helford,SW741262,-5.1596953,50.092855,174100,26200,0,0,0,NA,0,0,NA,0,0,NA,0,4,23.5,Yellow,0,NA,0,17,W,2/8,Dry,19,NA,NA,NA,1.5,LN,Large Net,18.3,1.8,5,Beach Seine,5,1610,1740,78,1025,2240,1646,,4.6,4.8,1.5,,NA,1750,Hauled
0,1,1998/06/16,1998,167,6,18 The Bar,The Bar,Helford,SW757269,-5.1377720,50.099748,175700,26900,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,17,W,2/8,Dry,17,NA,NA,NA,1.5,LN,Large Net,18.3,1.8,5,Beach Seine,NA,NA,NA,NA,,,,,,,,,NA,700,Hauled
0,1,1998/06/25,1998,176,6,12 Treymane Creek,Merthen,Helford,SW729259,-5.1762672,50.089704,172900,25900,1,1,0,NA,0,31,12,0,0,NA,0,0,NA,0,0,NA,0,17,W,3/8,Dry,22,NA,NA,NA,1,LN,Large Net,18.3,1.8,5,Beach Seine,2,1215,1400,87,650,1808,1331,,5.2,5.4,0.6,,NA,1600,Hauled
0,1,1998/07/21,1998,202,7,20 Head of Polwheveral Creek,Head of Polwheveral Creek,Helford,SW739284,-5.1637894,50.112535,173900,28400,1,1,0,NA,0,13,14,0,0,NA,0,0,NA,0,0,NA,0,20,W,3/8,Dry,21,NA,NA,NA,0.2,LN,Large Net,18.3,1.8,5,Beach Seine,NA,NA,NA,NA,,,,,,,,,NA,250,Hauled
0,1,1998/07/24,1998,205,7,1 Mawgan Creek,Mawgan Creek,Helford,SW721257,-5.1873139,50.087602,172100,25700,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,18,W,2/8,Dry,18,NA,NA,NA,0.4,LN,Large Net,18.3,1.7,4,Beach Seine,NA,NA,NA,NA,,,,,,,,,NA,540,Hauled
1,0,1998/07/24,1998,205,7,12 Merthen,Merthen,Helford,SW723258,-5.1845821,50.088576,172300,25800,1,1,0,NA,0,10,14,0,0,NA,0,0,NA,0,0,NA,0,18,W,2/8,Dry,18,0,0.2,rippled,0.3,LN,Large Net,18.3,1.7,4,Beach Seine,1,1230,1400,78,632,1849,1316,,5.1,5.3,0.7,,NA,2000,Hauled
0,1,1998/07/24,1998,205,7,12 Treymane Creek,Merthen,Helford,SW729259,-5.1762672,50.089704,172900,25900,1,1,0,NA,0,10,14,0,0,NA,0,0,NA,0,0,NA,0,18,W,4/8,Dry,18,NA,NA,NA,0.3,LN,Large Net,18.3,1.7,4,Beach Seine,NA,NA,NA,NA,,,,,,,,,NA,2000,Hauled
0,1,1998/07/31,1998,212,7,2 Bonallack Main River,Bonallack,Helford,SW718260,-5.1916800,50.090180,171800,26000,1,1,22,3.7,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,21,N,4/8,Dry,20,NA,NA,NA,0.9,LN,Large Net,18.3,1.7,4,Beach Seine,2,1530,1750,132,1055,2306,1717,,4.4,4.4,1.9,,NA,1400,Hauled
0,1,1998/08/05,1998,217,8,2 Bonallack Main River,Bonallack,Helford,SW718260,-5.1916800,50.090180,171800,26000,1,1,6,4.4,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,21,W,0/8,Dry,20,NA,NA,NA,1,LN,Large Net,18.3,1.7,4,Beach Seine,NA,NA,NA,NA,,,,,,,,,NA,5400,Hauled
0,1,1998/08/05,1998,217,8,2 Bonallack Main River,Bonallack,Helford,SW718260,-5.1916800,50.090180,171800,26000,1,1,0,NA,0,0,NA,0,0,NA,0,4,26,Yellow,0,NA,0,21,W,0/8,Dry,20,NA,NA,NA,0.3,RL,Rod and Line,1.83,1.7,4,Beach Seine,NA,NA,NA,NA,,,,,,,,,NA,NA,Hauled
0,1,1998/08/05,1998,217,8,2 Bonallack Main River,Bonallack,Helford,SW718260,-5.1916800,50.090180,171800,26000,1,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,21,W,0/8,Dry,20,NA,NA,NA,0.3,RL,Rod and Line,1.83,1.7,4,Beach Seine,NA,NA,NA,NA,,,,,,,,,NA,NA,Hauled
0,1,1998/08/11,1998,223,8,12 Treymane Creek,Merthen,Helford,SW729259,-5.1762672,50.089704,172900,25900,1,1,1,4,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,25,W,0/8,Dry,23,NA,NA,NA,0.5,LN,Large Net,18.3,1.7,4,Beach Seine,NA,NA,NA,NA,,,,,,,,,NA,3000,Hauled
